"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.10306744146247","7.7457209595255","10.7279954454342","15.9807209597067","17.0556077124355","17.7305101989984","19.6803406054544","22.2927345691496","29.4622225199845","29.0524581353221","34.0575823862252","37.4483266627811","38.158553224227","33.1460790718546","52.6756985399764","61.4454166137594","54.3932040970052","53.5281708684404",
"Afghanistan","AFG","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.34789165598046","3.95462289700116","3.78003253402614","3.64099205081707","4.10285087666095","3.73069388744557","2.98878092225366","2.91863956161471","3.01137821102865","3.13599304301985","3.42504347543281","3.01797262627042","","",
"Africa Western and Central","AFW","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.3133291575335","23.9850215263739","","","","",
"Angola","AGO","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9216642188919","15.8884467526408","16.7923362196478","18.1725945963255","22.7625557655209","20.0627810850304","","49.777146397709","",
"Albania","ALB","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2553100575394","32.3567734217156","65.3048634844466","76.1970613346762","106.746383190498","105.487512941828","126.256585063527","138.174516483651","151.382973041394","145.869707163283","154.131655961711","148.098605496066","141.538157433414","144.045586754979","141.379902152932","141.405105417688","152.54898304226","153.879805795262",
"Andorra","AND","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127.608726052267","144.102376192434","154.861423604356","136.687183338063","108.384579680137","111.451593798586","172.546818252405","145.30274090546","165.348569485525","200.177767825438","177.948674933925","157.318388798418","","148.315419589448",
"United Arab Emirates","ARE","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","471.916151944906","488.076710716132","543.087144548573","541.587238886953","540.490755251348","494.180865390316","469.651622484282","543.121328957728",
"Argentina","ARG","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167.409344377809","190.324658725245","223.357710949645","256.176943756956","285.481823646248","296.031203362246","304.73279204985","326.282653774384","347.83368600504","344.059405704384","355.923586984299","380.520613635825","395.624876504759","395.632057013968","407.356662052986","407.317324877008","396.444204392045","390.763221003128",
"Armenia","ARM","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
